Champion,wr,wrdelta,avgwr,Pick Rate,Ban Rate,PBI Index,PBIno,lane,games,rank
Tristana,50.19,1.24,48.949999999999996,4.64,1.57,-2.0,-1.6129032258064517,bottom lane,"97,361",PLATINUM
Riven,49.36,0.78,48.58,2.68,1.12,-4.0,-5.128205128205128,top lane,"56,303",PLATINUM
Kindred,48.89,0.52,48.37,2.26,0.91,-4.0,-7.692307692307692,jungle lane,"47,478",PLATINUM
Hecarim,47.78,0.13,47.65,2.42,1.19,-7.0,-53.84615384615385,jungle lane,"50,739",PLATINUM
Zeri,50.38,0.11,50.27,1.55,0.17,0.0,0.0,bottom lane,"32,424",PLATINUM
LeBlanc,49.97,0.62,49.35,4.44,13.59,-4.0,-6.451612903225807,middle lane,"93,052",PLATINUM
Kalista,47.46,0.36,47.1,1.26,0.26,-4.0,-11.11111111111111,bottom lane,"26,486",PLATINUM
Renata Glasc,51.26,0.35,50.91,0.94,0.16,1.0,2.857142857142857,support lane,"19,743",PLATINUM
Alistar,49.49,0.5,48.99,3.26,1.32,-4.0,-8.0,support lane,"68,360",PLATINUM
Varus,47.58,0.49,47.089999999999996,3.64,2.60,-12.0,-24.489795918367346,bottom lane,"76,420",PLATINUM
Lee Sin,49.52,0.4,49.120000000000005,11.46,12.15,-15.0,-37.5,jungle lane,"240,351",PLATINUM
Qiyana,47.92,0.25,47.67,1.65,0.67,-5.0,-20.0,middle lane,"34,511",PLATINUM
Teemo,51.9,1.09,50.809999999999995,4.38,9.05,6.0,5.504587155963303,top lane,"91,887",PLATINUM
Vi,50.65,0.81,49.839999999999996,5.13,1.36,0.0,0.0,jungle lane,"107,560",PLATINUM
Neeko,49.13,0.91,48.220000000000006,2.07,1.18,-3.0,-3.2967032967032965,support lane,"43,427",PLATINUM
Heimerdinger,51.55,1.05,50.5,1.49,2.71,1.0,0.9523809523809523,top lane,"31,312",PLATINUM
Pyke,48.86,0.66,48.2,5.70,15.44,-12.0,-18.18181818181818,support lane,"119,535",PLATINUM
Illaoi,51.68,1.16,50.52,3.06,6.69,3.0,2.586206896551724,top lane,"64,087",PLATINUM
Ivern,50.28,0.32,49.96,0.86,0.25,0.0,0.0,jungle lane,"18,056",PLATINUM
Shaco,49.9,1.28,48.62,5.43,25.72,-6.0,-4.6875,jungle lane,"113,993",PLATINUM
Nasus,51.63,1.1,50.53,4.51,5.73,4.0,3.6363636363636362,top lane,"94,694",PLATINUM
Udyr,50.34,0.68,49.660000000000004,1.64,0.66,-1.0,-1.4705882352941175,jungle lane,"34,487",PLATINUM
Darius,49.71,1.09,48.62,8.11,17.05,-10.0,-9.174311926605505,top lane,"170,136",PLATINUM
Karthus,48.75,0.33,48.42,1.23,0.44,-2.0,-6.0606060606060606,jungle lane,"25,875",PLATINUM
Zed,49.37,0.73,48.64,7.29,23.70,-13.0,-17.808219178082194,middle lane,"152,843",PLATINUM
Yuumi,49.53,0.27,49.26,4.89,5.01,-6.0,-22.22222222222222,support lane,"102,589",PLATINUM
Tryndamere,50.85,1.24,49.61,3.36,2.31,1.0,0.8064516129032259,top lane,"70,476",PLATINUM
Kha'Zix,48.53,0.45,48.08,4.79,3.10,-11.0,-24.444444444444443,jungle lane,"100,458",PLATINUM
Nidalee,47.02,0.32,46.7,1.46,0.46,-5.0,-15.625,jungle lane,"30,598",PLATINUM
Zoe,49.59,0.25,49.34,3.14,3.39,-4.0,-16.0,middle lane,"65,957",PLATINUM
Rengar,45.94,0.47,45.47,3.19,3.16,-16.0,-34.04255319148936,jungle lane,"66,967",PLATINUM
Galio,50.1,0.69,49.410000000000004,3.22,1.48,-2.0,-2.8985507246376816,middle lane,"67,572",PLATINUM
Renekton,50.24,0.71,49.53,5.36,3.31,-3.0,-4.225352112676057,top lane,"112,479",PLATINUM
Jayce,48.16,0.14,48.019999999999996,3.30,2.56,-9.0,-64.28571428571428,top lane,"69,222",PLATINUM
Fiora,49.14,0.13,49.01,3.06,3.29,-5.0,-38.46153846153846,top lane,"64,151",PLATINUM
Aurora,49.37,0.54,48.83,3.20,2.36,-4.0,-7.4074074074074066,middle lane,"67,101",PLATINUM
Kennen,50.0,0.42,49.58,1.75,1.45,-1.0,-2.380952380952381,top lane,"36,758",PLATINUM
Trundle,50.18,1.2,48.98,1.67,0.53,-1.0,-0.8333333333333334,top lane,"35,008",PLATINUM
Skarner,48.45,0.24,48.21,0.69,0.18,-2.0,-8.333333333333334,jungle lane,"14,488",PLATINUM
Yone,49.48,0.89,48.589999999999996,6.26,6.25,-8.0,-8.98876404494382,middle lane,"131,382",PLATINUM
Cassiopeia,49.65,0.93,48.72,1.06,0.95,-1.0,-1.075268817204301,middle lane,"22,284",PLATINUM
Taliyah,47.33,0.69,46.64,0.91,0.18,-3.0,-4.347826086956522,middle lane,"19,103",PLATINUM
K'Sante,45.89,0.29,45.6,2.66,1.67,-13.0,-44.827586206896555,top lane,"55,878",PLATINUM
Orianna,47.82,0.5,47.32,3.63,0.63,-11.0,-22.0,middle lane,"76,248",PLATINUM
Ryze,47.43,0.4,47.03,2.79,0.66,-9.0,-22.5,middle lane,"58,532",PLATINUM
Gwen,48.94,0.54,48.4,2.32,3.00,-4.0,-7.4074074074074066,top lane,"48,747",PLATINUM
Rumble,48.45,0.56,47.89,2.04,0.85,-5.0,-8.928571428571427,top lane,"42,693",PLATINUM
Camille,49.27,0.06,49.21,2.13,0.70,-3.0,-50.0,top lane,"44,619",PLATINUM
Gnar,49.25,0.25,49.0,3.58,1.18,-5.0,-20.0,top lane,"75,100",PLATINUM
Azir,46.46,0.64,45.82,2.18,0.36,-9.0,-14.0625,middle lane,"45,653",PLATINUM
Mel,47.25,1.0,46.25,5.44,38.84,-31.0,-31.0,middle lane,"114,202",PLATINUM
Gragas,47.92,0.51,47.410000000000004,1.64,0.48,-5.0,-9.803921568627452,top lane,"34,438",PLATINUM
Ahri,50.56,0.2,50.36,10.11,5.21,5.0,25.0,middle lane,"237,198",GOLD
Jinx,51.52,0.0,51.52,14.98,5.87,23.0,23.0,bottom lane,"351,302",GOLD
Nami,51.9,-0.51,52.41,8.83,2.53,16.0,-31.372549019607842,support lane,"207,177",GOLD
Naafiri,51.22,-0.45,51.67,5.41,18.11,7.0,-15.555555555555555,jungle lane,"126,902",GOLD
Kayle,52.65,0.36,52.29,3.76,3.53,10.0,27.77777777777778,top lane,"88,237",GOLD
Thresh,50.34,-0.14,50.480000000000004,11.08,4.94,3.0,-21.428571428571427,support lane,"259,873",GOLD
Ashe,50.99,0.07,50.92,14.68,6.79,14.0,199.99999999999997,bottom lane,"344,244",GOLD
Sona,52.55,-0.08,52.629999999999995,3.44,0.34,8.0,-100.0,support lane,"80,585",GOLD
Garen,52.58,0.25,52.33,11.58,12.40,33.0,132.0,top lane,"271,520",GOLD
Xerath,52.06,-0.03,52.09,5.00,11.46,11.0,-366.6666666666667,middle lane,"117,334",GOLD
Soraka,52.04,-0.03,52.07,4.87,2.74,10.0,-333.33333333333337,support lane,"114,184",GOLD
Irelia,50.33,-0.17,50.5,3.86,11.88,1.0,-5.88235294117647,top lane,"90,555",GOLD
Veigar,53.08,0.67,52.41,7.46,4.12,23.0,34.32835820895522,middle lane,"174,897",GOLD
Nocturne,52.48,0.36,52.12,9.79,16.76,28.0,77.77777777777779,jungle lane,"229,679",GOLD
Shyvana,52.88,-0.19,53.07,6.73,9.47,21.0,-110.52631578947368,jungle lane,"157,898",GOLD
Viktor,51.19,-0.52,51.71,4.86,2.75,5.0,-9.615384615384615,middle lane,"114,007",GOLD
Xin Zhao,51.02,0.05,50.970000000000006,4.59,1.55,4.0,80.0,jungle lane,"107,579",GOLD
Brand,52.33,0.29,52.04,5.24,6.58,13.0,44.827586206896555,support lane,"122,793",GOLD
Caitlyn,50.23,0.17,50.059999999999995,22.64,31.49,5.0,29.41176470588235,bottom lane,"531,116",GOLD
Kayn,50.53,0.29,50.24,8.47,5.78,4.0,13.793103448275863,jungle lane,"198,658",GOLD
Ekko,50.79,0.28,50.51,3.29,2.00,2.0,7.142857142857142,middle lane,"77,279",GOLD
Milio,52.3,-0.76,53.059999999999995,4.94,3.46,11.0,-14.473684210526315,support lane,"115,856",GOLD
Jarvan IV,50.2,-0.43,50.63,4.72,0.90,1.0,-2.3255813953488373,jungle lane,"110,815",GOLD
Shen,50.09,-0.26,50.35,3.63,2.00,0.0,-0.0,top lane,"85,103",GOLD
Aurelion Sol,51.85,-0.14,51.99,2.99,1.37,5.0,-35.71428571428571,middle lane,"70,130",GOLD
Taric,52.86,0.26,52.6,1.30,0.39,4.0,15.384615384615383,support lane,"30,441",GOLD
Nilah,53.44,0.18,53.26,1.47,2.59,5.0,27.77777777777778,bottom lane,"34,403",GOLD
Master Yi,50.29,0.59,49.699999999999996,10.07,19.37,2.0,3.3898305084745766,jungle lane,"236,188",GOLD
Sion,51.33,-0.33,51.66,4.11,1.40,5.0,-15.15151515151515,top lane,"96,450",GOLD
Miss Fortune,52.17,0.94,51.230000000000004,15.68,5.94,35.0,37.23404255319149,bottom lane,"367,862",GOLD
Zilean,51.26,-0.26,51.519999999999996,1.74,0.63,2.0,-7.692307692307692,support lane,"40,803",GOLD
Singed,51.9,-0.21,52.11,1.98,0.79,4.0,-19.047619047619047,top lane,"46,459",GOLD
Briar,53.29,0.06,53.23,6.76,16.80,26.0,433.33333333333337,jungle lane,"158,634",GOLD
Twitch,51.07,0.04,51.03,5.19,7.48,5.0,125.0,bottom lane,"121,624",GOLD
Janna,50.44,-0.93,51.37,1.71,0.23,1.0,-1.075268817204301,support lane,"40,042",GOLD
Ambessa,49.46,-0.34,49.800000000000004,2.85,5.69,-2.0,5.88235294117647,jungle lane,"66,741",GOLD
Seraphine,51.46,0.41,51.050000000000004,8.31,2.75,12.0,29.26829268292683,support lane,"194,954",GOLD
Zyra,52.16,0.4,51.76,4.78,4.91,10.0,25.0,support lane,"112,140",GOLD
Samira,51.1,0.01,51.09,6.47,12.65,7.0,700.0,bottom lane,"151,749",GOLD
Ornn,51.59,-0.24,51.830000000000005,3.70,0.85,6.0,-25.0,top lane,"86,895",GOLD
Leona,51.44,0.26,51.18,8.30,10.57,13.0,50.0,support lane,"194,641",GOLD
Diana,51.74,0.2,51.54,4.60,6.26,8.0,40.0,middle lane,"107,943",GOLD
Lillia,51.58,0.15,51.43,3.64,2.40,6.0,40.0,jungle lane,"85,477",GOLD
Warwick,51.26,1.0,50.26,4.93,4.16,6.0,6.0,jungle lane,"115,578",GOLD
Vayne,50.77,0.0,50.77,7.75,12.03,6.0,6.0,bottom lane,"181,871",GOLD
