Champion,wr,wrdelta,avgwr,Pick Rate,Ban Rate,PBI Index,PBIno,lane,games,rank
Heimerdinger,50.83,0.71,50.12,1.89,4.15,1.0,1.4084507042253522,top lane,"44,275",GOLD
Swain,49.82,0.46,49.36,5.18,6.36,-1.0,-2.1739130434782608,support lane,"121,435",GOLD
Lucian,48.17,-0.35,48.52,6.85,2.15,-13.0,37.142857142857146,bottom lane,"160,640",GOLD
Kai'Sa,48.46,-0.11,48.57,12.46,2.05,-21.0,190.9090909090909,bottom lane,"292,344",GOLD
Illaoi,51.52,0.59,50.93,3.65,8.74,6.0,10.16949152542373,top lane,"85,506",GOLD
Sivir,50.11,-0.06,50.17,3.79,2.18,0.0,-0.0,bottom lane,"88,796",GOLD
Kassadin,49.38,-0.18,49.56,1.58,1.00,-1.0,5.555555555555555,middle lane,"36,989",GOLD
Sejuani,51.13,-0.15,51.28,2.29,0.26,2.0,-13.333333333333334,jungle lane,"53,755",GOLD
Vladimir,49.76,-0.24,50.0,2.75,3.05,-1.0,4.166666666666667,middle lane,"64,487",GOLD
Nasus,51.27,0.5,50.77,5.25,5.68,7.0,14.0,top lane,"123,076",GOLD
Bard,49.22,-0.78,50.0,2.93,0.84,-3.0,3.846153846153846,support lane,"68,820",GOLD
Karma,49.29,-0.63,49.92,5.63,4.35,-5.0,7.936507936507937,support lane,"132,145",GOLD
Hecarim,46.64,-0.35,46.99,1.96,0.79,-7.0,20.0,jungle lane,"46,022",GOLD
Zeri,49.84,-0.04,49.88,1.41,0.18,0.0,-0.0,bottom lane,"33,001",GOLD
Sylas,48.86,0.1,48.76,6.22,11.16,-9.0,-90.0,middle lane,"145,776",GOLD
Tristana,49.11,0.72,48.39,5.48,2.16,-5.0,-6.944444444444445,bottom lane,"128,621",GOLD
Talon,47.16,-0.04,47.199999999999996,2.40,1.34,-7.0,175.0,jungle lane,"56,369",GOLD
Bel'Veth,48.36,0.35,48.01,1.22,1.00,-2.0,-5.714285714285714,jungle lane,"28,522",GOLD
Kalista,46.84,-0.14,46.980000000000004,1.23,0.31,-4.0,28.57142857142857,bottom lane,"28,784",GOLD
Pantheon,48.88,0.3,48.580000000000005,4.08,2.42,-5.0,-16.666666666666668,support lane,"95,729",GOLD
Zac,49.61,-0.33,49.94,2.00,0.71,-1.0,3.0303030303030303,jungle lane,"46,932",GOLD
Akshan,49.76,0.12,49.64,2.00,1.45,-1.0,-8.333333333333334,middle lane,"46,852",GOLD
Twisted Fate,49.08,-0.39,49.47,3.06,0.42,-3.0,7.692307692307692,middle lane,"71,745",GOLD
Varus,46.51,0.2,46.309999999999995,3.62,2.26,-13.0,-65.0,bottom lane,"84,864",GOLD
Kindred,47.74,0.05,47.690000000000005,2.24,0.73,-5.0,-100.0,jungle lane,"52,493",GOLD
Quinn,49.81,0.7,49.11,1.47,1.30,0.0,0.0,top lane,"34,508",GOLD
Renata Glasc,50.89,-0.27,51.160000000000004,0.81,0.16,1.0,-3.7037037037037033,support lane,"18,892",GOLD
Elise,48.95,-0.59,49.540000000000006,1.36,0.60,-2.0,3.3898305084745766,jungle lane,"31,981",GOLD
Lee Sin,48.2,-0.19,48.39,10.08,10.95,-21.0,110.52631578947368,jungle lane,"236,489",GOLD
Alistar,48.71,-0.29,49.0,2.96,1.17,-4.0,13.793103448275863,support lane,"69,388",GOLD
Riven,47.31,0.08,47.230000000000004,2.42,0.81,-7.0,-87.5,top lane,"56,650",GOLD
Qiyana,46.85,0.19,46.660000000000004,1.35,0.44,-4.0,-21.05263157894737,middle lane,"31,677",GOLD
Tryndamere,50.07,0.41,49.660000000000004,3.79,2.76,0.0,0.0,top lane,"88,843",GOLD
Neeko,48.38,0.64,47.74,2.31,1.28,-4.0,-6.25,support lane,"54,204",GOLD
Syndra,49.67,-0.49,50.160000000000004,3.70,2.27,-2.0,4.081632653061225,middle lane,"86,807",GOLD
Karthus,48.13,0.13,48.0,1.23,0.32,-2.0,-15.384615384615383,jungle lane,"28,891",GOLD
Fiora,48.58,0.28,48.3,2.91,2.64,-5.0,-17.857142857142854,top lane,"68,148",GOLD
Ivern,48.39,0.35,48.04,0.76,0.22,-1.0,-2.857142857142857,jungle lane,"17,711",GOLD
Pyke,48.01,-0.06,48.07,5.54,13.64,-13.0,216.66666666666669,support lane,"129,992",GOLD
Nidalee,45.03,0.14,44.89,1.21,0.35,-6.0,-42.857142857142854,jungle lane,"28,429",GOLD
Rengar,44.37,-0.27,44.64,2.78,1.97,-16.0,59.25925925925925,jungle lane,"65,269",GOLD
Darius,48.38,0.25,48.13,8.94,17.92,-19.0,-76.0,top lane,"209,678",GOLD
Senna,49.06,0.26,48.800000000000004,4.53,1.21,-5.0,-19.23076923076923,support lane,"106,174",GOLD
Kha'Zix,47.29,-0.35,47.64,4.27,2.48,-12.0,34.285714285714285,jungle lane,"100,047",GOLD
LeBlanc,49.05,-0.18,49.23,4.22,12.59,-5.0,27.77777777777778,middle lane,"98,871",GOLD
Cho'Gath,49.76,0.28,49.48,2.99,1.10,-1.0,-3.571428571428571,top lane,"70,085",GOLD
Jax,49.55,0.18,49.37,5.52,9.43,-3.0,-16.666666666666668,top lane,"129,362",GOLD
Udyr,49.33,0.22,49.11,1.50,0.59,-1.0,-4.545454545454546,jungle lane,"35,198",GOLD
Zed,48.32,0.11,48.21,7.37,22.43,-17.0,-154.54545454545453,middle lane,"172,857",GOLD
Yuumi,49.12,0.08,49.04,4.46,3.73,-4.0,-50.0,support lane,"104,553",GOLD
Shaco,48.6,0.1,48.5,5.95,29.30,-13.0,-130.0,jungle lane,"139,619",GOLD
Zaahen,49.33,0.14,49.19,2.34,4.66,-2.0,-14.285714285714285,top lane,"54,792",GOLD
Jayce,46.81,-0.58,47.39,2.49,1.75,-8.0,13.793103448275863,top lane,"58,373",GOLD
Vi,49.86,-0.05,49.91,4.91,1.16,-1.0,20.0,jungle lane,"115,191",GOLD
Katarina,48.81,-0.03,48.84,5.86,7.39,-8.0,266.6666666666667,middle lane,"137,350",GOLD
Aurora,48.71,-0.16,48.87,2.80,2.10,-4.0,25.0,middle lane,"65,762",GOLD
Zoe,48.04,0.09,47.949999999999996,2.88,2.72,-6.0,-66.66666666666667,middle lane,"67,585",GOLD
Skarner,47.64,0.02,47.62,0.61,0.17,-1.0,-50.0,jungle lane,"14,341",GOLD
Gangplank,49.34,-0.45,49.790000000000006,3.34,2.51,-3.0,6.666666666666666,top lane,"78,426",GOLD
Yone,49.5,0.61,48.89,7.26,7.17,-5.0,-8.19672131147541,middle lane,"170,290",GOLD
Kennen,48.91,0.05,48.86,1.67,1.26,-2.0,-40.0,top lane,"39,282",GOLD
K'Sante,44.77,-0.28,45.050000000000004,2.29,1.41,-12.0,42.857142857142854,top lane,"53,709",GOLD
Rumble,47.73,-0.05,47.779999999999994,1.85,0.70,-4.0,80.0,top lane,"43,407",GOLD
Galio,49.58,0.13,49.449999999999996,3.31,1.57,-2.0,-15.384615384615383,middle lane,"77,535",GOLD
Renekton,49.8,-0.22,50.019999999999996,4.92,2.88,-1.0,4.545454545454546,top lane,"115,442",GOLD
Cassiopeia,48.72,0.73,47.99,1.10,0.87,-2.0,-2.73972602739726,middle lane,"25,697",GOLD
Gwen,48.01,0.43,47.58,2.33,2.56,-5.0,-11.627906976744185,top lane,"54,696",GOLD
Orianna,47.06,-0.21,47.27,3.18,0.57,-10.0,47.61904761904762,middle lane,"74,472",GOLD
Taliyah,45.6,-0.67,46.27,0.75,0.14,-3.0,4.477611940298507,middle lane,"17,606",GOLD
Ryze,46.79,-0.12,46.91,2.50,0.58,-8.0,66.66666666666667,middle lane,"58,597",GOLD
Trundle,49.3,0.62,48.68,2.06,0.71,-2.0,-3.2258064516129035,top lane,"48,258",GOLD
Gnar,48.12,-0.2,48.32,3.12,0.96,-6.0,30.0,top lane,"73,139",GOLD
Camille,48.0,-0.12,48.12,1.66,0.57,-3.0,25.0,top lane,"38,904",GOLD
Azir,44.91,-0.54,45.449999999999996,1.97,0.38,-10.0,18.51851851851852,middle lane,"46,207",GOLD
Mel,46.92,0.31,46.61,6.27,41.06,-34.0,-109.6774193548387,middle lane,"146,979",GOLD
Gragas,46.5,-0.21,46.71,1.36,0.35,-5.0,23.80952380952381,top lane,"31,939",GOLD
Jinx,50.24,-0.74,50.980000000000004,14.86,6.30,17.0,-22.972972972972972,bottom lane,"274,744",SILVER
Xerath,50.9,-1.11,52.01,4.73,11.37,9.0,-8.108108108108107,middle lane,"87,571",SILVER
Shyvana,52.6,-1.07,53.67,6.66,8.50,25.0,-23.36448598130841,jungle lane,"123,138",SILVER
Kayle,51.4,-0.89,52.29,3.83,3.14,9.0,-10.112359550561798,top lane,"70,810",SILVER
Sona,51.78,-0.76,52.54,3.40,0.34,9.0,-11.842105263157894,support lane,"62,908",SILVER
Veigar,52.22,-0.38,52.6,9.04,5.66,29.0,-76.3157894736842,middle lane,"167,211",SILVER
Naafiri,49.75,-1.33,51.08,4.64,15.62,3.0,-2.255639097744361,jungle lane,"85,814",SILVER
Garen,51.68,-0.75,52.43,11.82,11.76,34.0,-45.333333333333336,top lane,"218,656",SILVER
Aurelion Sol,51.38,-0.98,52.36,2.88,1.37,7.0,-7.142857142857143,middle lane,"53,245",SILVER
Nami,50.44,-1.54,51.98,6.55,1.77,9.0,-5.844155844155844,support lane,"121,205",SILVER
Brand,51.78,-0.78,52.56,5.80,7.65,17.0,-21.794871794871796,support lane,"107,267",SILVER
Sion,50.95,-1.34,52.290000000000006,3.63,1.35,7.0,-5.223880597014925,top lane,"67,171",SILVER
Soraka,50.44,-1.47,51.91,4.13,2.26,5.0,-3.4013605442176873,support lane,"76,364",SILVER
Nocturne,51.03,-1.24,52.27,9.82,15.02,22.0,-17.741935483870968,jungle lane,"181,592",SILVER
Viktor,50.39,-1.9,52.29,3.71,2.03,5.0,-2.6315789473684212,middle lane,"68,685",SILVER
Singed,51.23,-0.99,52.22,1.86,0.84,4.0,-4.040404040404041,top lane,"34,435",SILVER
Milio,51.18,-1.59,52.77,3.63,2.13,8.0,-5.031446540880503,support lane,"67,155",SILVER
Xin Zhao,49.9,-0.48,50.379999999999995,4.63,1.39,4.0,-8.333333333333334,jungle lane,"85,646",SILVER
Taric,51.48,-1.38,52.86,1.24,0.40,3.0,-2.173913043478261,support lane,"22,988",SILVER
Zilean,50.45,-1.59,52.040000000000006,1.45,0.45,2.0,-1.2578616352201257,support lane,"26,893",SILVER
Nilah,51.85,-1.04,52.89,1.41,2.23,4.0,-3.846153846153846,bottom lane,"26,089",SILVER
Miss Fortune,51.41,-0.23,51.63999999999999,20.65,9.26,51.0,-221.7391304347826,bottom lane,"381,950",SILVER
Zyra,51.15,-1.13,52.28,4.78,4.73,10.0,-8.849557522123895,support lane,"88,418",SILVER
Briar,52.93,-0.82,53.75,6.82,16.77,31.0,-37.80487804878049,jungle lane,"126,046",SILVER
Seraphine,50.9,-0.02,50.92,10.20,3.70,19.0,-950.0,support lane,"188,584",SILVER
Ambessa,48.33,-1.62,49.949999999999996,2.22,4.07,-2.0,1.2345679012345678,jungle lane,"41,031",SILVER
Malzahar,51.83,-1.28,53.11,9.65,19.38,32.0,-25.0,middle lane,"178,436",SILVER
Ornn,50.18,-1.0,51.18,3.27,0.75,3.0,-3.0,top lane,"60,387",SILVER
Rell,50.15,-0.75,50.9,2.47,0.82,2.0,-2.6666666666666665,support lane,"45,736",SILVER
Janna,49.71,-1.15,50.86,1.22,0.17,1.0,-0.8695652173913044,support lane,"22,572",SILVER
Yorick,51.79,-0.79,52.58,6.72,15.51,21.0,-26.582278481012658,top lane,"124,248",SILVER
Kog'Maw,51.31,-1.3,52.61,1.41,0.44,3.0,-2.3076923076923075,bottom lane,"26,008",SILVER
Jarvan IV,48.98,-1.4,50.379999999999995,3.75,0.72,-1.0,0.7142857142857143,jungle lane,"69,396",SILVER
Lux,50.2,-0.28,50.480000000000004,16.37,19.04,21.0,-74.99999999999999,support lane,"302,790",SILVER
Samira,50.14,-0.78,50.92,6.56,14.09,8.0,-10.256410256410255,bottom lane,"121,317",SILVER
Ashe,49.86,-0.69,50.55,14.74,7.03,11.0,-15.942028985507248,bottom lane,"272,545",SILVER
Malphite,50.46,-0.77,51.230000000000004,6.85,14.89,11.0,-14.285714285714285,top lane,"126,633",SILVER
Poppy,50.04,-1.22,51.26,1.46,0.88,1.0,-0.819672131147541,support lane,"27,047",SILVER
Twitch,49.98,-0.98,50.959999999999994,4.95,8.22,4.0,-4.081632653061225,bottom lane,"91,558",SILVER
Mordekaiser,51.37,-0.19,51.559999999999995,9.84,17.67,27.0,-142.10526315789474,top lane,"181,985",SILVER
Lillia,50.42,-1.48,51.9,3.53,2.28,5.0,-3.3783783783783785,jungle lane,"65,283",SILVER
Dr. Mundo,51.01,-0.63,51.64,4.43,9.90,9.0,-14.285714285714286,top lane,"82,011",SILVER
Irelia,49.41,-0.57,49.98,3.74,10.39,1.0,-1.7543859649122808,top lane,"69,229",SILVER
Leona,50.27,-0.97,51.24,8.93,10.67,11.0,-11.34020618556701,support lane,"165,129",SILVER
Ziggs,51.37,-0.42,51.79,1.68,0.92,4.0,-9.523809523809524,bottom lane,"31,114",SILVER
Viego,49.2,-0.96,50.160000000000004,10.26,10.73,1.0,-1.0416666666666667,jungle lane,"189,753",SILVER
Warwick,50.17,0.09,50.08,6.58,6.45,7.0,77.77777777777779,jungle lane,"121,658",SILVER
Morgana,51.1,-0.36,51.46,10.74,27.38,29.0,-80.55555555555556,support lane,"198,565",SILVER
Volibear,50.01,-0.84,50.85,4.28,4.45,4.0,-4.761904761904762,top lane,"79,158",SILVER
Diana,50.33,-0.71,51.04,4.82,6.21,6.0,-8.450704225352114,middle lane,"89,193",SILVER
Maokai,50.58,-0.62,51.199999999999996,2.57,0.40,4.0,-6.451612903225807,support lane,"47,595",SILVER
Smolder,50.76,-1.5,52.26,7.89,4.29,13.0,-8.666666666666666,bottom lane,"145,958",SILVER
Fizz,50.41,-1.06,51.47,6.52,11.85,9.0,-8.49056603773585,middle lane,"120,611",SILVER
Vel'Koz,50.55,-0.66,51.209999999999994,3.29,1.72,5.0,-7.575757575757575,support lane,"60,924",SILVER
Ahri,49.15,-0.68,49.83,10.20,5.31,0.0,-0.0,middle lane,"188,573",SILVER
Graves,48.47,-1.92,50.39,7.43,5.89,-5.0,2.604166666666667,jungle lane,"137,369",SILVER
Thresh,48.59,-1.28,49.870000000000005,9.05,3.66,-5.0,3.90625,support lane,"167,377",SILVER
Caitlyn,49.36,-0.94,50.3,23.08,31.73,7.0,-7.446808510638299,bottom lane,"426,861",SILVER
Shen,48.89,-1.49,50.38,3.06,1.55,-1.0,0.6711409395973155,top lane,"56,650",SILVER
Nautilus,48.92,-0.89,49.81,10.42,12.71,-3.0,3.3707865168539324,support lane,"192,792",SILVER
Ekko,49.7,-0.87,50.57,3.42,2.11,2.0,-2.2988505747126435,middle lane,"63,340",SILVER
Rammus,51.99,-0.91,52.9,3.32,6.87,10.0,-10.989010989010989,jungle lane,"61,335",SILVER
Heimerdinger,50.78,0.08,50.7,2.49,6.43,4.0,50.0,top lane,"45,963",SILVER
Jhin,48.98,-1.11,50.089999999999996,16.74,4.75,-3.0,2.7027027027027026,bottom lane,"309,509",SILVER
Yasuo,49.5,-0.64,50.14,12.02,22.27,5.0,-7.8125,middle lane,"222,286",SILVER
Yunara,46.85,-0.86,47.71,5.16,2.44,-12.0,13.953488372093023,bottom lane,"95,406",SILVER
Master Yi,49.71,-0.22,49.93,11.81,22.02,8.0,-36.36363636363637,jungle lane,"218,364",SILVER
Swain,49.44,-0.82,50.26,5.75,7.50,2.0,-2.4390243902439024,support lane,"106,384",SILVER
Sett,51.62,-0.25,51.87,8.70,5.48,23.0,-92.0,top lane,"160,847",SILVER
Urgot,50.74,-0.77,51.510000000000005,3.13,1.84,5.0,-6.4935064935064934,top lane,"57,817",SILVER
Kayn,49.43,-0.83,50.26,9.12,6.13,3.0,-3.6144578313253013,jungle lane,"168,625",SILVER
Aphelios,48.07,-1.17,49.24,3.06,2.03,-3.0,2.5641025641025643,bottom lane,"56,556",SILVER
Hwei,50.01,-1.54,51.55,2.77,1.28,2.0,-1.2987012987012987,middle lane,"51,270",SILVER
Draven,47.04,-0.96,48.0,3.27,7.62,-7.0,7.291666666666667,bottom lane,"60,459",SILVER
Rek'Sai,45.88,-1.27,47.150000000000006,0.75,0.44,-2.0,1.574803149606299,jungle lane,"13,898",SILVER
Vayne,49.19,-1.26,50.449999999999996,6.99,11.37,0.0,-0.0,bottom lane,"129,335",SILVER
Amumu,52.14,-0.74,52.88,5.56,3.46,17.0,-22.972972972972972,jungle lane,"102,752",SILVER
Rakan,48.34,-1.1,49.440000000000005,2.07,0.29,-2.0,1.8181818181818181,support lane,"38,252",SILVER
Ezreal,46.22,-1.23,47.449999999999996,13.43,5.73,-42.0,34.146341463414636,bottom lane,"248,384",SILVER
Illaoi,50.9,-0.54,51.44,4.41,11.51,9.0,-16.666666666666664,top lane,"81,521",SILVER
Teemo,51.0,-0.34,51.34,7.13,17.50,16.0,-47.05882352941176,top lane,"131,806",SILVER
Kai'Sa,47.44,-1.33,48.769999999999996,11.01,2.08,-19.0,14.285714285714285,bottom lane,"203,612",SILVER
Kled,49.86,-1.12,50.98,1.21,0.78,1.0,-0.8928571428571428,top lane,"22,303",SILVER
Nunu & Willump,48.47,-0.69,49.16,2.09,0.52,-1.0,1.4492753623188408,jungle lane,"38,669",SILVER
Kassadin,48.76,-0.86,49.62,1.38,0.73,-1.0,1.1627906976744187,middle lane,"25,506",SILVER
Lulu,47.7,-1.84,49.540000000000006,4.79,3.52,-7.0,3.8043478260869565,support lane,"88,669",SILVER
Olaf,49.87,-0.11,49.98,2.16,1.55,2.0,-18.181818181818183,top lane,"39,964",SILVER
Corki,45.21,-1.8,47.01,1.38,0.34,-5.0,2.7777777777777777,bottom lane,"25,534",SILVER
Kindred,47.09,-0.46,47.550000000000004,2.37,0.65,-5.0,10.869565217391305,jungle lane,"43,846",SILVER
Wukong,49.27,-0.88,50.150000000000006,2.06,0.45,0.0,-0.0,jungle lane,"38,155",SILVER
Akali,48.17,-0.6,48.77,8.23,16.75,-10.0,16.666666666666668,middle lane,"152,233",SILVER
Hecarim,44.93,-0.74,45.67,1.70,0.63,-7.0,9.45945945945946,jungle lane,"31,454",SILVER
Lucian,46.34,-1.23,47.57,5.76,1.77,-16.0,13.008130081300813,bottom lane,"106,578",SILVER
Elise,47.73,-1.49,49.22,0.99,0.42,-1.0,0.6711409395973155,jungle lane,"18,348",SILVER
Pantheon,48.03,-0.44,48.47,4.58,2.58,-5.0,11.363636363636363,support lane,"84,767",SILVER
Aatrox,47.6,-0.85,48.45,4.18,6.87,-7.0,8.23529411764706,top lane,"77,231",SILVER
Xayah,48.92,-1.08,50.0,3.11,0.60,-1.0,0.9259259259259258,bottom lane,"57,440",SILVER
Sylas,47.74,-0.71,48.45,6.31,10.50,-10.0,14.084507042253522,middle lane,"116,681",SILVER
Sivir,48.44,-1.37,49.809999999999995,3.32,1.81,-2.0,1.4598540145985401,bottom lane,"61,314",SILVER
Bel'Veth,46.85,-1.14,47.99,1.14,0.82,-3.0,2.6315789473684212,jungle lane,"21,054",SILVER
Karthus,47.75,-1.31,49.06,1.16,0.27,-2.0,1.5267175572519083,jungle lane,"21,514",SILVER
Zeri,48.32,-1.18,49.5,1.19,0.18,-1.0,0.8474576271186441,bottom lane,"21,935",SILVER
Bard,47.83,-1.31,49.14,2.14,0.66,-3.0,2.2900763358778624,support lane,"39,569",SILVER
Kalista,45.44,-0.4,45.839999999999996,1.16,0.38,-4.0,10.0,bottom lane,"21,483",SILVER
Tristana,47.96,-0.21,48.17,6.61,3.14,-8.0,38.095238095238095,bottom lane,"122,328",SILVER
Karma,47.94,-1.81,49.75,4.14,2.72,-5.0,2.7624309392265194,support lane,"76,602",SILVER
Sejuani,49.8,-1.18,50.98,2.17,0.26,1.0,-0.8474576271186441,jungle lane,"40,172",SILVER
Anivia,49.06,-1.5,50.56,2.09,1.53,0.0,-0.0,middle lane,"38,634",SILVER
Nasus,50.13,-0.66,50.79,5.78,5.37,6.0,-9.09090909090909,top lane,"106,974",SILVER
Varus,45.76,-0.64,46.4,3.75,2.05,-13.0,20.3125,bottom lane,"69,316",SILVER
Evelynn,48.04,-0.46,48.5,2.16,1.46,-2.0,4.3478260869565215,jungle lane,"40,025",SILVER
Talon,46.28,-0.59,46.870000000000005,2.41,1.08,-7.0,11.864406779661017,middle lane,"44,484",SILVER
Alistar,47.66,-0.93,48.589999999999996,2.51,1.01,-4.0,4.301075268817204,support lane,"46,471",SILVER
Jax,48.88,-0.75,49.63,5.45,9.16,-2.0,2.6666666666666665,top lane,"100,860",SILVER
Lee Sin,46.37,-1.33,47.699999999999996,8.74,9.58,-27.0,20.30075187969925,jungle lane,"161,672",SILVER
Qiyana,44.87,-0.92,45.79,1.19,0.32,-5.0,5.434782608695652,middle lane,"22,055",SILVER
Neeko,47.79,-0.24,48.03,2.87,1.57,-4.0,16.666666666666668,support lane,"53,095",SILVER
Twisted Fate,47.49,-1.65,49.14,2.40,0.30,-4.0,2.4242424242424243,middle lane,"44,386",SILVER
Fiddlesticks,48.92,-0.87,49.79,2.15,0.78,0.0,-0.0,jungle lane,"39,840",SILVER
Vladimir,47.99,-1.36,49.35,2.30,2.68,-3.0,2.205882352941176,middle lane,"42,567",SILVER
Zac,47.46,-1.53,48.99,1.79,0.55,-3.0,1.9607843137254901,jungle lane,"33,124",SILVER
Darius,47.05,-0.6,47.65,9.38,18.26,-24.0,40.0,top lane,"173,396",SILVER
Akshan,48.25,-1.04,49.29,1.82,1.34,-2.0,1.923076923076923,middle lane,"33,695",SILVER
Fiora,47.2,-1.21,48.410000000000004,2.70,2.16,-5.0,4.132231404958678,top lane,"49,864",SILVER
Tahm Kench,49.13,-0.77,49.900000000000006,4.36,5.72,0.0,-0.0,support lane,"80,711",SILVER
Vex,50.04,-0.32,50.36,4.35,4.64,4.0,-12.5,middle lane,"80,361",SILVER
Lissandra,49.04,-1.55,50.589999999999996,3.09,1.65,0.0,-0.0,middle lane,"57,120",SILVER
Pyke,47.29,-0.56,47.85,5.78,13.82,-12.0,21.428571428571427,support lane,"106,917",SILVER
Jayce,45.5,-1.3,46.8,1.91,1.24,-7.0,5.384615384615384,top lane,"35,263",SILVER
Annie,49.2,-0.9,50.1,2.41,0.96,0.0,-0.0,middle lane,"44,489",SILVER
Riven,45.13,-1.2,46.330000000000005,2.10,0.61,-8.0,6.666666666666667,top lane,"38,793",SILVER
Blitzcrank,49.06,-0.33,49.39,5.92,14.96,-1.0,3.0303030303030303,support lane,"109,487",SILVER
Kha'Zix,46.04,-0.61,46.65,3.77,2.07,-12.0,19.672131147540984,jungle lane,"69,755",SILVER
Rengar,42.94,-0.92,43.86,2.49,1.40,-16.0,17.391304347826086,jungle lane,"45,963",SILVER
Braum,49.48,-1.19,50.669999999999995,3.66,2.73,1.0,-0.8403361344537815,support lane,"67,630",SILVER
Nidalee,42.71,-1.13,43.84,1.02,0.29,-7.0,6.194690265486726,jungle lane,"18,847",SILVER
Udyr,47.79,-1.17,48.96,1.39,0.50,-2.0,1.7094017094017095,jungle lane,"25,743",SILVER
Zaahen,47.66,-0.92,48.58,2.23,3.87,-3.0,3.260869565217391,top lane,"41,203",SILVER
Cho'Gath,48.79,-0.49,49.28,3.21,1.30,-1.0,2.0408163265306123,top lane,"59,302",SILVER
Ivern,46.1,-1.41,47.51,0.66,0.21,-2.0,1.4184397163120568,jungle lane,"12,281",SILVER
Yone,49.56,-0.38,49.940000000000005,8.65,8.16,4.0,-10.526315789473685,middle lane,"159,972",SILVER
Renata Glasc,49.39,-0.97,50.36,0.68,0.17,0.0,-0.0,support lane,"12,550",SILVER
Shaco,47.43,-0.83,48.26,6.23,31.36,-16.0,19.27710843373494,jungle lane,"115,134",SILVER
Syndra,48.53,-1.47,50.0,2.92,1.93,-2.0,1.3605442176870748,middle lane,"53,994",SILVER
Quinn,47.77,-1.05,48.82,1.61,1.38,-2.0,1.9047619047619047,top lane,"29,833",SILVER
Zed,46.79,-0.79,47.58,7.05,20.57,-21.0,26.582278481012658,middle lane,"130,376",SILVER
LeBlanc,47.79,-1.24,49.03,3.93,11.48,-6.0,4.838709677419355,middle lane,"72,675",SILVER
Skarner,46.29,-1.15,47.44,0.61,0.16,-2.0,1.7391304347826089,jungle lane,"11,351",SILVER
Yuumi,47.58,-0.51,48.089999999999996,4.27,2.95,-7.0,13.72549019607843,support lane,"79,031",SILVER
Senna,47.42,-1.03,48.45,4.56,1.16,-8.0,7.766990291262136,support lane,"84,254",SILVER
Rumble,46.53,-0.98,47.51,1.69,0.59,-4.0,4.081632653061225,top lane,"31,219",SILVER
Zoe,46.79,-0.66,47.449999999999996,2.76,2.48,-7.0,10.606060606060606,middle lane,"51,106",SILVER
Vi,48.6,-1.12,49.72,4.68,0.98,-3.0,2.6785714285714284,jungle lane,"86,583",SILVER
Aurora,47.6,-0.94,48.54,2.63,1.86,-4.0,4.25531914893617,middle lane,"48,638",SILVER
K'Sante,43.23,-1.1,44.33,2.04,1.19,-12.0,10.909090909090908,top lane,"37,792",SILVER
Gangplank,47.21,-1.62,48.83,2.53,1.82,-5.0,3.0864197530864197,top lane,"46,761",SILVER
Katarina,47.3,-1.28,48.58,5.25,6.45,-10.0,7.8125,middle lane,"97,178",SILVER
Trundle,48.98,-0.75,49.73,2.47,0.93,0.0,-0.0,top lane,"45,648",SILVER
Gwen,47.02,-0.57,47.59,2.42,2.19,-5.0,8.771929824561404,top lane,"44,716",SILVER
Kennen,47.39,-0.59,47.980000000000004,1.56,1.11,-3.0,5.084745762711865,top lane,"28,909",SILVER
Galio,49.11,-0.91,50.019999999999996,3.44,1.73,0.0,-0.0,middle lane,"63,709",SILVER
Renekton,49.2,-0.91,50.11,4.68,2.65,0.0,-0.0,top lane,"86,561",SILVER
Orianna,46.25,-1.27,47.52,2.74,0.57,-8.0,6.299212598425196,middle lane,"50,644",SILVER
Ryze,45.83,-1.44,47.269999999999996,2.21,0.51,-7.0,4.861111111111112,middle lane,"40,787",SILVER
Tryndamere,49.23,-0.86,50.089999999999996,4.11,3.30,0.0,-0.0,top lane,"76,043",SILVER
Cassiopeia,46.78,-1.41,48.19,1.09,0.79,-3.0,2.127659574468085,middle lane,"20,187",SILVER
Taliyah,43.78,-1.06,44.84,0.69,0.11,-4.0,3.773584905660377,middle lane,"12,801",SILVER
Gnar,46.87,-0.9,47.769999999999996,2.70,0.80,-6.0,6.666666666666666,top lane,"49,897",SILVER
Camille,45.39,-1.17,46.56,1.29,0.48,-5.0,4.273504273504273,top lane,"23,876",SILVER
Azir,43.9,-1.08,44.98,1.72,0.44,-9.0,8.333333333333332,middle lane,"31,877",SILVER
Mel,46.57,-0.58,47.15,7.04,43.11,-32.0,55.17241379310345,middle lane,"130,122",SILVER
Gragas,44.29,-1.24,45.53,1.11,0.26,-5.0,4.032258064516129,top lane,"20,510",SILVER
Veigar,50.8,-2.68,53.48,9.91,7.21,33.0,-12.313432835820894,middle lane,"102,485",BRONZE
Singed,51.19,-2.54,53.73,1.66,0.90,6.0,-2.3622047244094486,top lane,"17,194",BRONZE
Shyvana,51.97,-2.54,54.51,6.53,7.47,30.0,-11.811023622047244,jungle lane,"67,513",BRONZE
Sion,50.21,-2.82,53.03,2.97,1.28,7.0,-2.4822695035460995,top lane,"30,713",BRONZE
Taric,50.86,-2.65,53.51,1.17,0.39,4.0,-1.509433962264151,support lane,"12,059",BRONZE
Malzahar,50.48,-3.0,53.48,8.11,18.89,28.0,-9.333333333333334,middle lane,"83,899",BRONZE
